Sentence1,Sentence2
The teacher assigned 20 problems., The teacher assigned numerous problems.
The student answered 15 questions correctly., The student answered most of the questions correctly.
The musician played 30 songs., The musician played a wide variety of songs.
The company hired 75 employees., The company hired many employees.
The author wrote 7 chapters., The author wrote a large number of chapters.
The scientist conducted 20 experiments., The scientist conducted many experiments.
The baker sold 150 loaves of bread., The baker sold a very large quantity of bread.
The store had 40 apples., The store had many apples.
The park contained 200 trees., The park had a large number of trees.
The classroom held 40 students., The classroom was nearly full.
The concert attracted 1500 people., The concert drew a massive crowd.
The museum displayed 150 artifacts., The museum displayed many artifacts.
The library held 10000 books., The library housed a vast collection of books.
The restaurant served 300 customers., The restaurant served many customers.
The school enrolled 1000 students., The school enrolled a large number of students.
The city had 3 million residents., The city had a very large population.
The company produced 10000 products., The company produced a huge number of products.
The farm raised 3000 chickens., The farm raised a massive flock of chickens.
The shop sold 200 hats., The shop sold many hats.
The factory produced 5000 cars., The factory produced a large number of cars.
There were 200 birds singing in the trees., There was a chorus of birds singing in the trees.
I baked 30 cookies for the party., I baked many cookies for the party.
She read over 50 books this year., She read a vast number of books this year.
He wrote approximately 100 pages of his novel., He wrote a substantial portion of his novel.
There were at least 40 cars in the parking lot., The parking lot was nearly full of cars.
I saw more than 30 squirrels in the park., I saw numerous squirrels in the park.
She collected around 75 stamps., She has a sizeable stamp collection.
He planted close to 80 trees in the orchard., He planted a great many trees in the orchard.
There were over 300 people at the concert., A huge crowd attended the concert.
I answered 40 questions correctly on the test., I got most of the test questions correct.
She baked about 70 cupcakes for the bake sale., She baked a large quantity of cupcakes for the bake sale.
He spent roughly 20 hours working on the project., He devoted considerable time to the project.
There were nearly 150 stars visible in the clear night sky., Countless stars were visible in the clear night sky.
I bought more than 10 pairs of shoes last year., I bought several pairs of shoes last year.
She wrote at least 20 poems., She wrote many poems.
He planted approximately 15 flowers in his garden., He planted a few flowers in his garden.
There were close to 150 students in the large lecture hall., The lecture hall was packed with students.
I now own 8 dogs., I own several dogs.
She read almost 30 books during her vacation., She read a significant number of books during her vacation.
He wrote around 25 essays for his college application., He wrote many essays for his college application.
There were approximately 175 chairs in the large auditorium., There were ample chairs in the large auditorium.
I ate over 20 slices of pizza at the party., I ate a large quantity of pizza at the party.
She drank more than 15 cups of coffee yesterday., She drank an excessive amount of coffee yesterday.
He spent about 35 hours working overtime this week., He worked a significant amount of overtime this week.
There are roughly 100 houses on this street., There are approximately 100 houses on this street.
I have at least 20 pens., I have many pens.
She bought close to 25 dresses last season., She bought many dresses last season.
He read over 30 articles on the subject., He read a considerable number of articles on the subject.
There are around 150 apples in this basket., There are a large number of apples in this basket.
I ate nearly 15 slices of bread., I ate a large portion of bread.
She drank approximately 20 cups of tea., She drank a lot of tea.
He wrote close to 30 songs., He has written a large number of songs.
There were over 90 birds singing in the morning., A large flock of birds were singing in the morning.
I have almost 15 cats., I have many cats.
She bought about 20 pairs of socks., She bought many pairs of socks.
He read at least 10 chapters of the book., He read a good portion of the book.
There are more than 120 fish in the pond., There are a lot of fish in the pond.
I ate over 25 bowls of soup., I consumed a large amount of soup.
She drank around 22 bottles of water., She drank a tremendous amount of water.
He wrote approximately 35 essays., He wrote many essays.
There are at least 200 houses on this street., Many houses are situated on this street.
I have more than 25 cats., I have a large number of cats.
She bought about 15 pairs of pants., She bought some pairs of pants.
He read more than 20 novels., He has read many novels.
There are approximately 400 books on the shelf., There are numerous books on the shelf.
The team scored at least 9 goals., The team scored many goals.
The chef prepared over 40 dishes., The chef prepared a wide array of dishes.
The store sold more than 80 shirts., The store sold a significant number of shirts.
The garden contains about 20 roses., The garden has a lot of roses.
The library has over 7000 books., The library houses a vast collection of books.
The artist painted approximately 50 pictures., The artist created many paintings.
The farmer harvested more than 200 bushels of wheat., The farmer had a very large wheat harvest.
The teacher assigned about 25 problems., The teacher assigned numerous problems.
The student answered more than 18 questions correctly., The student performed well on the test.
The musician played at least 40 songs., The musician played many songs.
The company hired approximately 100 employees., The company hired many employees.
The author wrote around 9 chapters., The author wrote several chapters.
The scientist conducted over 30 experiments., The scientist conducted numerous experiments.
The baker sold more than 175 loaves of bread., The baker sold a large quantity of bread.
The store had approximately 50 apples., The store had many apples.
The park contained over 250 trees., The park had a large number of trees.
The classroom held about 45 students., The classroom was quite full.
The concert attracted more than 2000 people., The concert was very well-attended.
The museum displayed approximately 200 artifacts., The museum displayed many artifacts.
The library held over 12000 books., The library had a vast collection of books.
The restaurant served about 400 customers., The restaurant served many customers.
The school enrolled over 1500 students., The school had a large student body.
The city had approximately 4 million residents., The city had a large population.
The company produced over 15000 products., The company produced a huge number of products.
The farm raised more than 4000 chickens., The farm raised a large flock of chickens.
I saw over 40 squirrels scampering in the park., I saw numerous squirrels in the park.
She collected nearly 100 stamps., She has a very large stamp collection.
He planted approximately 90 trees on his property., He planted a significant number of trees on his property.
There were more than 400 people attending the conference., The conference had a large attendance.
I answered at least 50 questions correctly on the exam., I answered a majority of the questions correctly on the exam.
She baked around 80 cupcakes for her daughter's birthday., She baked a lot of cupcakes for her daughter's birthday.
He spent over 30 hours working on his presentation., He dedicated many hours to his presentation.
There were nearly 200 stars visible in the night sky., Countless stars were visible in the night sky.
I bought more than 12 pairs of shoes this year., I bought quite a few pairs of shoes this year.
She wrote over 25 poems., She wrote many poems.
He planted approximately 20 flowers in his garden., He planted some flowers in his garden.
There were close to 200 students participating in the event., Many students participated in the event.
I have 10 dogs., I have many dogs.
She read at least 40 books last year., She read a lot of books last year.
He wrote over 30 essays for his application., He wrote numerous essays for his application.
There were approximately 250 chairs set up for the meeting., There were plenty of chairs for the meeting.
I ate more than 25 slices of pizza., I ate a large amount of pizza.
She drank over 20 cups of coffee., She drank a lot of coffee.
He spent about 45 hours working this week., He put in many hours of work this week.
There are roughly 150 houses on this street., There are many houses on this street.
I own at least 25 pens., I have many pens.
She bought close to 30 dresses., She bought a lot of dresses.
He read approximately 40 articles., He read numerous articles.
There are around 200 apples in the crate., There are a lot of apples in the crate.
I ate nearly 20 slices of bread., I ate a substantial amount of bread.
She drank close to 25 cups of tea., She drank a lot of tea.
He wrote over 40 songs., He wrote many songs.
There were approximately 100 birds singing., Many birds were singing.
I have more than 18 cats., I have a large number of cats.
She bought about 25 pairs of socks., She bought many pairs of socks.
He read at least 12 chapters., He read a significant portion of the book.
There are more than 150 fish in the pond., The pond is full of fish.
I ate over 30 bowls of soup., I ate a huge amount of soup.
She drank approximately 30 bottles of water., She drank a large quantity of water.
He wrote around 45 essays., He wrote many essays.
There are at least 250 houses in the neighborhood., The neighborhood has many houses.
I have more than 30 cats., I have a lot of cats.
She bought about 20 pairs of pants., She bought several pairs of pants.
He read over 30 novels., He read many novels.
There are approximately 500 books on the shelf., There are numerous books on the shelf.
The team scored over 10 goals., The team scored many goals.
The chef prepared more than 50 dishes., The chef prepared a large number of dishes.
The store sold at least 100 shirts., The store sold a significant number of shirts.
The garden contains approximately 30 roses., The garden has many roses.
The library has over 8000 books., The library has a vast collection of books.
The artist painted more than 60 pictures., The artist created many paintings.
The farmer harvested over 300 bushels of wheat., The farmer had a very good harvest.
The teacher assigned approximately 30 problems., The teacher assigned a lot of problems.
The student answered at least 20 questions correctly., The student performed well on the test.
The musician played over 50 songs., The musician played many songs.
The company hired approximately 150 employees., The company hired a large number of employees.
The author wrote around 10 chapters., The author wrote several chapters.
The scientist conducted more than 40 experiments., The scientist conducted numerous experiments.
The baker sold over 200 loaves of bread., The baker sold a large quantity of bread.
The store had approximately 60 apples., The store had many apples.
The park contained over 300 trees., The park has a large number of trees.
The classroom held about 50 students., The classroom was full.
The concert attracted more than 3000 people., The concert was very well attended.
The museum displayed approximately 250 artifacts., The museum displayed many artifacts.
The library held over 15000 books., The library has an extensive collection of books.
The restaurant served about 500 customers., The restaurant served many customers.
The school enrolled over 2000 students., The school has a large student body.
The city had approximately 5 million residents., The city has a very large population.
The company produced over 20000 products., The company produced a huge number of products.
The farm raised more than 5000 chickens., The farm raised a very large number of chickens.
The boutique sold 250 scarves., The boutique sold many scarves.
The factory produced around 8000 cars., The factory produced a large number of cars.
Approximately 400 birds were nesting in the cliffs., A large number of birds were nesting in the cliffs.
I baked at least 50 cookies for the fundraiser., I baked many cookies for the fundraiser.
She read over 70 books during the summer., She read a significant number of books during the summer.
He wrote close to 200 pages of his manuscript., He wrote a substantial portion of his manuscript.
There were more than 60 cars waiting at the tollbooth., Many cars were waiting at the tollbooth.
I saw at least 50 squirrels foraging for nuts., I saw numerous squirrels foraging for nuts.
She collected over 120 stamps., She has a very extensive stamp collection.
He planted approximately 100 trees along the riverbank., He planted many trees along the riverbank.
There were more than 500 people at the stadium., A huge crowd was at the stadium.
I answered at least 60 questions correctly on the test., I got a large number of questions correct on the test.
She baked around 90 cupcakes for the party., She baked a considerable number of cupcakes for the party.
He spent over 40 hours working on the project., He devoted a significant amount of time to the project.
There were nearly 250 stars visible that night., Countless stars were visible that night.
I bought more than 15 pairs of shoes this year., I bought many pairs of shoes this year.
She wrote over 30 poems., She wrote a significant number of poems.
He planted approximately 25 flowers., He planted some flowers.
There were close to 250 students at the assembly., Many students were at the assembly.
I have 12 dogs., I have a lot of dogs.
She read at least 50 books last year., She read many books last year.
He wrote over 40 essays., He wrote numerous essays.
There were approximately 300 chairs in the auditorium., There were plenty of chairs in the auditorium.
I ate more than 30 slices of pizza., I ate a huge amount of pizza.
She drank over 25 cups of coffee., She drank a great deal of coffee.
He spent about 55 hours working this week., He worked many hours this week.
There are roughly 200 houses on this street., There are many houses on this street.
I own at least 30 pens., I have many pens.
She bought close to 40 dresses., She bought a large number of dresses.
He read approximately 50 articles., He read many articles.
There are around 250 apples in the orchard., There are a large number of apples in the orchard.
I ate nearly 25 slices of bread., I ate a large amount of bread.
She drank close to 30 cups of tea., She drank a lot of tea.
He wrote over 50 songs., He has written many songs.
There were approximately 120 birds singing., Many birds were singing.
I have more than 20 cats., I have a lot of cats.
She bought about 30 pairs of socks., She bought a large quantity of socks.
He read at least 15 chapters., He read a substantial portion of the book.
There are more than 200 fish in the lake., The lake is teeming with fish.
I ate over 40 bowls of soup., I ate an enormous amount of soup.
She drank approximately 40 bottles of water., She drank a vast quantity of water.
He wrote around 60 essays., He wrote many essays.
There are at least 300 houses in this town., There are many houses in this town.
I have more than 35 cats., I have a lot of cats.
She bought about 25 pairs of pants., She bought quite a few pairs of pants.
He read over 40 novels., He read many novels.
There are approximately 600 books on the shelf., There are a large number of books on the shelf.
The team scored over 12 goals., The team scored many goals.
The chef prepared more than 60 dishes., The chef prepared a huge number of dishes.
The store sold at least 120 shirts., The store sold many shirts.
The garden contains approximately 40 roses., The garden has numerous roses.
The library has over 9000 books., The library houses a vast collection of books.
The artist painted more than 70 pictures., The artist created many paintings.
The farmer harvested over 400 bushels of wheat., The farmer had an abundant harvest.
The teacher assigned approximately 40 problems., The teacher assigned many problems.
The student answered at least 25 questions correctly., The student answered many questions correctly.
The musician played over 60 songs., The musician played numerous songs.
The company hired approximately 200 employees., The company hired a significant number of employees.
The author wrote around 12 chapters., The author wrote several chapters.
The scientist conducted more than 50 experiments., The scientist conducted many experiments.
The baker sold over 250 loaves of bread., The baker sold a large quantity of bread.
The store had approximately 70 apples., The store had many apples.
The park contained over 400 trees., The park has a lot of trees.
The classroom held about 60 students., The classroom was quite full.
The concert attracted more than 4000 people., The concert was extremely well-attended.
The museum displayed approximately 300 artifacts., The museum displayed a large number of artifacts.
The library held over 18000 books., The library had an enormous collection of books.
The restaurant served about 600 customers., The restaurant served many customers.
The school enrolled over 2500 students., The school had a very large student body.
The city had approximately 6 million residents., The city has a huge population.
The company produced over 25000 products., The company produced a massive number of products.
The farm raised more than 6000 chickens., The farm raised a very large flock of chickens.
The jeweler crafted 300 necklaces., The jeweler crafted many necklaces.
The factory produced around 9000 cars., The factory produced a very large number of cars.
Around 500 birds were observed migrating., A large flock of birds was migrating.
I baked more than 60 cookies for the event., I baked many cookies for the event.
She's read over 80 books this year., She's read a considerable number of books this year.
He wrote close to 250 pages of his thesis., He wrote a substantial amount of his thesis.
More than 70 cars were parked on the street., Numerous cars were parked on the street.
I saw at least 60 squirrels playing in the park., I saw many squirrels playing in the park.
She collected nearly 150 stamps., She has an extensive stamp collection.
He planted approximately 120 trees in the forest., He planted a large number of trees in the forest.
Over 600 people attended the concert., A huge crowd attended the concert.
I answered at least 70 questions correctly., I answered most of the questions correctly.
She baked around 100 cupcakes., She baked a large quantity of cupcakes.
He spent over 50 hours working on the project., He spent a considerable amount of time on the project.
There were nearly 300 stars visible in the sky., Countless stars were visible in the sky.
I bought more than 18 pairs of shoes., I bought many pairs of shoes.
She wrote over 40 poems., She wrote numerous poems.
He planted approximately 30 flowers., He planted several flowers.
There were close to 300 students at the graduation., Many students attended the graduation.
I have 14 dogs., I have a lot of dogs.
She read at least 60 books last year., She read many books last year.
He wrote over 50 essays., He wrote numerous essays.
There were approximately 350 chairs in the hall., There were ample chairs in the hall.
I ate more than 40 slices of pizza., I ate a huge amount of pizza.
She drank over 30 cups of coffee., She drank a great deal of coffee.
He spent about 65 hours working this week., He worked many hours this week.
There are roughly 250 houses in this neighborhood., There are many houses in this neighborhood.
I own at least 35 pens., I have many pens.
She bought close to 50 dresses., She bought a lot of dresses.
He read approximately 60 articles., He read many articles.
There are around 300 apples in the bin., There are a lot of apples in the bin.
I ate nearly 30 slices of bread., I ate a large amount of bread.
She drank close to 35 cups of tea., She drank a lot of tea.
He wrote over 60 songs., He wrote numerous songs.
There were approximately 150 birds singing., Many birds were singing.
I have more than 25 cats., I have a large number of cats.
She bought about 40 pairs of socks., She bought many pairs of socks.
He read at least 20 chapters., He read a good portion of the book.
There are more than 250 fish in the aquarium., The aquarium is full of fish.
I ate over 50 bowls of soup., I ate a huge amount of soup.
She drank approximately 50 bottles of water., She drank a vast quantity of water.
He wrote around 70 essays., He wrote numerous essays.
There are at least 350 houses in this town., There are many houses in this town.
I have more than 40 cats., I have a lot of cats.
She bought about 30 pairs of pants., She bought several pairs of pants.
He read over 50 novels., He read many novels.
There are approximately 700 books on the shelf., There are a large number of books on the shelf.
The team scored over 15 goals., The team scored many goals.
The chef prepared more than 70 dishes., The chef prepared a huge number of dishes.
The store sold at least 150 shirts., The store sold many shirts.
The garden contains approximately 50 roses., The garden has numerous roses.
The library has over 10000 books., The library houses a vast collection of books.
The artist painted more than 80 pictures., The artist created many paintings.
The farmer harvested over 500 bushels of wheat., The farmer had a very abundant harvest.
The teacher assigned approximately 50 problems., The teacher assigned many problems.
The student answered at least 30 questions correctly., The student answered many questions correctly.
The musician played over 70 songs., The musician played numerous songs.
The company hired approximately 250 employees., The company hired a significant number of employees.
The author wrote around 15 chapters., The author wrote several chapters.
The scientist conducted more than 60 experiments., The scientist conducted many experiments.
The baker sold over 300 loaves of bread., The baker sold a large quantity of bread.
The store had approximately 80 apples., The store had many apples.
The park contained over 500 trees., The park has a lot of trees.
The classroom held about 70 students., The classroom was quite full.
The concert attracted more than 5000 people., The concert was extremely well-attended.
The museum displayed approximately 350 artifacts., The museum displayed a large number of artifacts.
The library held over 20000 books., The library had an enormous collection of books.
The restaurant served about 700 customers., The restaurant served many customers.
The school enrolled over 3000 students., The school had a very large student body.
The city had approximately 7 million residents., The city has a huge population.
The company produced over 30000 products., The company produced a massive number of products.
The farm raised more than 7000 chickens., The farm raised a very large flock of chickens.
The tailor made 400 suits., The tailor made many suits.
The factory produced around 10000 cars., The factory produced a very large number of cars.
Around 600 birds were soaring overhead., A vast number of birds were soaring overhead.
I baked more than 70 cookies for the holiday., I baked many cookies for the holiday.
She has read over 90 books this year., She has read a considerable number of books this year.
He wrote close to 300 pages of his novel., He wrote a substantial portion of his novel.
More than 80 cars were parked in the lot., Numerous cars were parked in the lot.
I saw at least 70 squirrels burying acorns., I saw many squirrels burying acorns.
